Catégorie,Question,Option A,Option B,Option C,Bonne Réponse
Principes et valeurs,À quoi correspond la date du 14 juillet ?,La fin de la guerre,La fête nationale,L'élection du Président,B
Principes et valeurs,Quel est l’un des symboles de la République française ?,Le drapeau tricolore,Le lion,L'aigle,A
Principes et valeurs,Le principe d’égalité signifie que :,Chacun fait ce qu'il veut,La loi est la même pour tous,Tout est gratuit,B
Principes et valeurs,"""Liberté, égalité, fraternité"", c’est :",Un poème,La devise de la République,Une chanson,B
Principes et valeurs,A-t-on le droit d'insulter quelqu’un pour sa différence ?,Oui,Non c'est un délit,Seulement si c'est vrai,B
Principes et valeurs,Certains métiers peuvent-ils être réservés aux hommes ?,Oui,"Non, tous sont mixtes",Seulement dans l'armée,B
Principes et valeurs,De quand date la Constitution de la Ve République ?,1789,1945,1958,C
Principes et valeurs,Le régime de la France est :,Une monarchie,Une République,Un Empire,B
Principes et valeurs,Lequel de ces symboles représente officiellement la République ?,Marianne,Le lys,Le château,A
Principes et valeurs,Où peut-on voir la devise de la République ?,Sur les mairies,Sur les cinémas,Dans les gares,A
Principes et valeurs,Qu’est-ce que l’égalité ?,Le même salaire,Les mêmes droits et devoirs,Le même nom,B
Principes et valeurs,Que signifie la liberté ?,Faire tout ce qu'on veut,Ne pas payer d'impôts,Pouvoir agir sans nuire à autrui,C
Principes et valeurs,"Que signifie le mot ""fraternité"" ?",La solidarité,La force,La famille uniquement,A
Principes et valeurs,Quel animal est un symbole de la France ?,Le coq,L'ours,Le loup,A
Principes et valeurs,Quel est l’un des rôles des associations ?,Faire la loi,Agir pour l'intérêt général,Remplacer la police,B
Principes et valeurs,Quel est le nom de l'hymne national ?,La Marseillaise,Le Chant des Partisans,La Parisienne,A
Principes et valeurs,Quel symbole est tricolore ?,La Marianne,Le drapeau français,Le coq,B
Principes et valeurs,Quelle est la date de la fête nationale française ?,1er mai,14 juillet,11 novembre,B
Principes et valeurs,Quelle est la devise de la République française ?,Paix et Travail,Liberté Égalité Fraternité,Justice et Patrie,B
Principes et valeurs,Quelle est la langue officielle de la République ?,L'anglais,Le français,Toutes les langues,B
Principes et valeurs,Quelle liberté permet à chacun d’exprimer ses idées ?,Liberté de circulation,Liberté d'expression,Liberté d'association,B
Principes et valeurs,Quelles sont les couleurs du drapeau français ?,Bleu blanc rouge,Vert blanc rouge,Noir jaune rouge,A
Principes et valeurs,Qu'est-ce que la Marseillaise ?,Un opéra,L'hymne national,Une danse,B
Principes et valeurs,Que se passe-t-il sur les Champs Élysées le 14 juillet ?,Un concert de rock,Un défilé militaire,Une course de vélo,B
Principes et valeurs,Qui est Marianne ?,Une ancienne reine,L'allégorie de la République,Une sainte,B
Principes et valeurs,Une personne peut-elle changer librement de religion ?,Non,Oui,Seulement les citoyens,B
Principes et valeurs,"""La France est une République indivisible, ..., démocratique et sociale""",laïque,royale,militaire,A
Principes et valeurs,En quelle année la séparation des Églises et de l'État ?,1789,1905,1945,B
Principes et valeurs,Que permet le principe de laïcité ?,L'athéisme obligatoire,La liberté de conscience,Le choix des profs,B
Principes et valeurs,Pourquoi la laïcité doit être respectée à l'école ?,Pour la neutralité,Pour punir les élèves,Pour faire des économies,A
Principes et valeurs,Un enfant peut-il refuser l'école pour motif religieux ?,Oui,"Non, l'école est obligatoire",Seulement le vendredi,B
Système politique,Qui nomme le Premier ministre ?,Le peuple,Le Président,Le Sénat,B
Système politique,Le Parlement est composé :,Des ministres,De l'Assemblée et du Sénat,Des maires,B
Système politique,Qu'est-ce que le pouvoir exécutif ?,Voter les lois,Appliquer les lois,Rendre la justice,B
Système politique,A-t-on le droit de ne pas respecter une loi ?,Oui si on l'aime pas,"Non, nul n'est censé l'ignorer",Oui si on est riche,B
Système politique,Qui doit respecter la loi ?,Seulement les citoyens,Tout le monde,Seulement les élus,B
Système politique,Quel pouvoir détient un juge ?,Législatif,Judiciaire,Exécutif,B
Système politique,Qui est élu lors des législatives ?,Le Président,Les députés,Le Maire,B
Système politique,Combien de députés à l'Assemblée nationale ?,300,577,600,B
Système politique,Qui est élu lors des municipales ?,Le Président,Le conseil municipal/Maire,Le Député,B
Système politique,À partir de quel âge a-t-on le droit de voter ?,16 ans,18 ans,21 ans,B
Système politique,Durée du mandat du Président ?,4 ans,5 ans,7 ans,B
Système politique,Durée du mandat des députés ?,5 ans,6 ans,3 ans,A
Système politique,Durée du mandat des sénateurs ?,5 ans,6 ans,9 ans,B
Système politique,Condition nécessaire pour voter ?,Être propriétaire,Être de nationalité française,Avoir un emploi,B
Système politique,Que signifie « suffrage universel » ?,Tout le monde peut voter,Seuls les hommes votent,Seuls les riches votent,A
Système politique,Quels sont les trois pouvoirs ?,Police Justice Armée,Législatif Exécutif Judiciaire,Mairie Région État,B
Système politique,Qui possède le pouvoir législatif ?,Le Parlement,Le Président,Les tribunaux,A
Système politique,Qui vote les lois ?,Le Gouvernement,Le Parlement,Le Préfet,B
Système politique,Combien de départements en France ?,95,101,110,B
Système politique,Qui représente l'État dans le département ?,Le Maire,Le Préfet,Le Député,B
Système politique,Qui dirige la commune ?,Le Maire,Le Gouverneur,Le Préfet,A
Système politique,Le Président a-t-il tous les pouvoirs ?,Oui,"Non, les pouvoirs sont séparés",Seulement en été,B
Système politique,Quel pays est fondateur de l'UE ?,Royaume-Uni,France,Espagne,B
Système politique,Quelle est la monnaie en France ?,Le Franc,L'Euro,La Peseta,B
Droits et devoirs,Comment s'appelle le texte des droits et devoirs ?,Le Code de la route,La Charte des droits et devoirs,Le Journal Officiel,B
Droits et devoirs,Date de la Déclaration des droits de l'homme ?,1789,1848,1958,A
Droits et devoirs,Une femme peut avorter :,Non,Oui,Seulement si mariée,B
Droits et devoirs,La peine de mort est :,Autorisée,Abolie,Rare,B
Droits et devoirs,Est-il légal d'être marié à plusieurs personnes ?,Oui,Non,Oui si étranger,B
Droits et devoirs,Jeter une bouteille dans la rue est :,Une infraction,Autorisé,Un geste citoyen,A
Droits et devoirs,Que doit faire une personne en cas d'accident ?,Partir,Porter secours si possible,Prendre une photo,B
Droits et devoirs,Quel est le rôle de la police ?,Écrire des livres,Maintenir l'ordre et la loi,Vendre des timbres,B
Droits et devoirs,Quelle est l'infraction la plus grave ?,La contravention,Le délit,Le crime,C
Histoire et Géo,En quelle année a débuté la Révolution française ?,1789,1804,1914,A
Histoire et Géo,Qui était Napoléon Ier ?,Un peintre,L'Empereur des Français,Un roi de France,B
Histoire et Géo,Dans quelle République est-on aujourd'hui ?,La IIIe,La IVe,La Ve,C
Histoire et Géo,Qui a rendu l'école gratuite et laïque ?,Victor Hugo,Jules Ferry,Napoléon,B
Histoire et Géo,Quand a eu lieu la 1ère Guerre mondiale ?,1914-1918,1939-1945,1911-1913,A
Histoire et Géo,Date de l'abolition définitive de l'esclavage ?,1789,1848,1905,B
Histoire et Géo,Qui a fondé la Ve République ?,François Mitterrand,Charles de Gaulle,Jean Jaurès,B
Histoire et Géo,Quelle est la capitale de la France ?,Marseille,Lyon,Paris,C
Histoire et Géo,Combien de régions en France métropolitaine ?,10,13,22,B
Histoire et Géo,Qui était Molière ?,Un roi,Un auteur de théâtre,Un général,B
Histoire et Géo,Qui était Joséphine Baker ?,Une chanteuse et résistante,Une reine,Une espionne ennemie,A
Vie en société,Numéro d'urgence SAMU ?,15,17,18,A
Vie en société,Numéro d'urgence Pompiers ?,15,17,18,C
Vie en société,Qu'est-ce que le SMIC ?,Une assurance,Le salaire minimum,Un impôt,B
Vie en société,Durée légale du travail par semaine ?,35h,39h,40h,A
Vie en société,À quoi sert la carte Vitale ?,Payer le train,Remboursement des soins,Voter,B
Vie en société,Jusqu'à quel âge l'école est obligatoire ?,14 ans,16 ans,18 ans,B