Type_Examen,Catégorie,Question,Option A,Option B,Option C,Bonne Réponse
NAT,Principes et valeurs,En quelle année la France a-t-elle adopté la Déclaration des Droits de l'Homme ?,1789,1804,1945,A
NAT,Principes et valeurs,"Qu'est-ce que le principe de ""Fraternité"" implique concrètement ?",L'obligation de voter,"La solidarité nationale (impôts, protection sociale)",L'obéissance au chef,B
NAT,Principes et valeurs,La loi sur la laïcité de 2004 interdit dans les écoles publiques :,Les discussions religieuses,Le port de signes religieux ostensibles,La prière privée,B
NAT,Principes et valeurs,"Qui a écrit la ""Déclaration des droits de la femme et de la citoyenne"" en 1791 ?",Olympe de Gouges,Simone Veil,Louise Michel,A
NAT,Système politique,Quel est le rôle du Conseil Constitutionnel ?,Voter le budget,Vérifier la conformité des lois à la Constitution,Juger les crimes graves,B
NAT,Système politique,Comment appelle-t-on le texte de loi avant qu'il ne soit voté par le Parlement ?,Un décret,Un projet ou une proposition de loi,Un arrêté,B
NAT,Système politique,Qui peut saisir le Défenseur des Droits ?,Seulement les citoyens français,Toute personne s'estimant lésée par une administration,Seulement le Président,B
NAT,Système politique,Quel organe peut renverser le Gouvernement par une motion de censure ?,Le Sénat,L'Assemblée nationale,Le Conseil d'État,B
NAT,Système politique,"Qu'est-ce que la ""navette parlementaire"" ?",Le bus des députés,Le va-et-vient d'un texte entre l'Assemblée et le Sénat,Le voyage officiel du Président,B
NAT,Histoire,Quel roi a instauré l'Édit de Nantes pour mettre fin aux guerres de religion ?,Louis XIV,Henri IV,François Ier,B
NAT,Histoire,Qui était Jean Moulin ?,Un ministre de Napoléon,Le chef du Conseil National de la Résistance,Un écrivain du Moyen-Âge,B
NAT,Histoire,Quelle bataille célèbre de 1916 a marqué la Première Guerre mondiale ?,La bataille de la Marne,La bataille de Verdun,La bataille de Waterloo,B
NAT,Histoire,"Qu'appelle-t-on les ""Trente Glorieuses"" ?",Les 30 victoires de Napoléon,La période de forte croissance entre 1945 et 1975,Les 30 premiers jours de la Révolution,B
NAT,Histoire,Qui a instauré le Code Civil en 1804 ?,Louis XVI,Napoléon Bonaparte,Charles de Gaulle,B
NAT,Culture,"Qui a écrit ""Les Misérables"" ?",Gustave Flaubert,Victor Hugo,Émile Zola,B
NAT,Culture,Quel courant artistique a été fondé par Claude Monet ?,Le surréalisme,L'impressionnisme,Le cubisme,B
NAT,Culture,Qui a découvert le vaccin contre la rage ?,Marie Curie,Louis Pasteur,Antoine Lavoisier,B
NAT,Culture,"Quelle philosophe a écrit ""Le Deuxième Sexe"" ?",Françoise Sagan,Simone de Beauvoir,George Sand,B
NAT,Géographie,Quel est le point culminant de la France et de l'Europe occidentale ?,Le Puy de Sancy,Le Mont Blanc,Le Mont Ventoux,B
NAT,Géographie,Citez un territoire français situé dans le Pacifique :,La Réunion,La Nouvelle-Calédonie,La Guadeloupe,B
NAT,Vie en société,"Qu'est-ce que la ""jurisprudence"" ?",Une nouvelle loi,L'ensemble des décisions de justice qui servent de référence,Un diplôme de droit,B
NAT,Vie en société,"En France, quel est l'organisme qui gère les retraites de base ?",La CAF,L'Assurance Retraite (CNAV),Le Trésor Public,B